Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Flying Mouflan,Barleywine American,Tröegs Brewing Company,41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.23587,4.083696,460
XS Old Crustacean,Barleywine American,Rogue Ales,35,88,80,41,0,65,86,14,83,4.094595,4.024182,4.064011,3.738265,703
Doggie Claws,Barleywine American,Hair of the Dog Brewing Company / Brewery and Tasting Room,34,66,102,36,1,53,82,22,98,4.197168,3.980392,4.253813,4.021786,459
Helldorado,Barleywine American,Firestone Walker Brewing Co.,56,25,101,23,5,45,48,21,134,4.5,4,4.5,4.5,1
Cockeyed Cooper,Barleywine American,Uinta Brewing Company,66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.88,3.813333,150
Solstice D'hiver,Barleywine American,Brasserie Dieu Du Ciel,61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.927586,3.817241,290
Anniversary Barley Wine Ale,Barleywine American,Uinta Brewing Company,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.818662,3.769366,284
Barleywine Style Ale,Barleywine American,Green Flash Brewing Co.,35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.84384,3.732092,349
Lower De Boom Barleywine,Barleywine American,21st Amendment Brewery,47,67,110,73,2,120,98,6,100,3.714286,3.785714,3.428571,3.5,7
Killer Penguin Barleywine,Barleywine American,Boulder Beer / Wilderness Pub,33,29,70,28,0,41,35,4,67,3.616883,3.852814,3.521645,3.573593,231
Great,Barleywine American,Alpine Beer Company,36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.5,4.163866,119
Griffin's BowBoston Beer Company (Samuel Adams),Barleywine American,Boston Beer Company (Samuel Adams),41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.442529,3.465517,87
Sisyphus,Barleywine American,Real Ale Brewing Company,37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.903846,3.826923,286
Gratitude,Barleywine American,East End Brewing Company,31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.369792,4.174479,192
Barleywine Ale,Barleywine American,The Duck-Rabbit Craft Brewery,43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.809524,3.721088,294
The Vermonster,Barleywine American,Rock Art Brewery,29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.910891,3.816832,202
Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine American,Smuttynose Brewing Company,43,89,89,46,0,54,106,17,97,3.995327,3.96729,4.004673,3.847352,321
John Barleycorn Barleywine Ale,Barleywine American,Mad River Brewing Company,61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.714968,3.673567,314
Barrel Aged Behemoth,Barleywine American,Three Floyds Brewing Co. & Brewpub,66,38,86,36,0,61,42,35,92,4.348485,4,4.469697,4.287879,33
Old Ruffian - Barrel-Aged,Barleywine American,Great Divide Brewing Company,94,43,134,34,0,57,53,32,132,4.160714,3.845238,4.136905,3.97619,84
Old Numbskull - Bourbon Barrel-Aged,Barleywine American,AleSmith Brewing Company,67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.349206,4.198413,63
Devil's Milk,Barleywine American,DuClaw Brewing Company,45,78,125,80,2,122,117,9,103,3.844156,3.948052,3.896104,3.785714,77
Big Worse,Barleywine American,Mikkeller ApS,58,67,137,71,0,110,79,12,114,3.894737,3.62201,3.825359,3.600478,209
Chicken Killer Barley Wine,Barleywine American,Santa Fe Brewing Company,40,61,85,38,0,47,61,4,104,3.566667,3.925926,3.607407,3.544444,135
Olde Bluehair Barley Wine,Barleywine American,Big Sky Brewing Company,63,53,71,22,1,32,56,23,114,3.979452,3.986301,4.068493,3.917808,73
Old Blarney Barleywine,Barleywine American,Moylan's Brewery,38,61,107,39,0,64,69,6,119,3.884783,4.026087,3.884783,3.821739,230
Druid Fluid,Barleywine American,"Middle Ages Brewing Co., Ltd.",39,90,116,56,3,88,105,4,102,3.945607,4.012552,3.943515,3.834728,239
Holidale,Barleywine American,Berkshire Brewing Company Inc.,50,79,103,42,0,53,69,27,107,3.831325,3.987952,3.990964,3.891566,166
Old Howling Bastard,Barleywine American,Blue Point Brewing Company,37,45,100,34,0,44,60,11,115,3.826733,3.955446,3.80198,3.717822,101
Old Backus Barleywine,Barleywine American,Free State Brewing Co.,45,56,127,39,1,49,62,4,108,4.446429,4.116071,4.491071,4.375,56
§ucaba,Barleywine - English,Firestone Walker Brewing Co.,74,24,105,23,0,50,19,18,112,4.376302,4.057292,4.505208,4.375,384
Insanity,Barleywine - English,Weyerbacher Brewing Co.,55,19,103,27,0,68,19,27,88,4.17916,4.03973,4.238381,3.976012,667
Blithering Idiot,Barleywine - English,Weyerbacher Brewing Co.,47,29,138,26,0,62,31,15,97,3.71981,3.777476,3.74152,3.607191,737
Mother Of All Storms,Barleywine - English,Pelican Pub & Brewery,86,37,156,34,1,77,12,27,168,4.519305,4.206564,4.523166,4.281853,259
Old Foghorn,Barleywine - English,Anchor Brewing Company,37,56,116,36,0,82,64,15,110,3.935225,3.882762,3.96788,3.853854,934
Double Double Barrel Ale,Barleywine - English,Firestone Walker Brewing Co.,49,16,67,13,0,35,9,32,101,3.911765,4.117647,4.264706,4.117647,17
Mirror Mirror,Barleywine - English,Deschutes Brewery,19,32,119,28,0,77,29,18,104,4.122807,4.117794,4.246867,4.096491,399
Arctic Devil Barley Wine,Barleywine - English,Midnight Sun Brewing Co.,69,28,123,23,0,49,23,24,141,4.38756,4.119617,4.437799,4.19378,209
Horn Dog,Barleywine - English,Flying Dog Brewery,50,22,100,25,0,63,21,9,65,3.839923,3.845026,3.885204,3.71301,784
Bourbon Barrel-Aged Barley Wine,Barleywine - English,Kuhnhenn Brewing Company,94,24,99,14,1,44,8,25,123,4.419492,3.936441,4.34322,4.152542,118
J.W. Lees Harvest Ale (Lagavulin Whisky Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,59,11,126,22,1,64,6,54,74,4.135922,3.808252,4.024272,3.742718,206
Bligh's Barleywine Ale,Barleywine - English,Dry Dock Brewing Co.,64,13,123,31,0,46,7,18,96,4.44,4.07,4.5,4.45,50
J.W. Lees Harvest Ale (Calvados Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,48,23,188,74,0,93,22,30,93,4.149171,3.80663,4.151934,3.922652,181
J.W. Lees Harvest Ale (Port Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,38,23,148,36,0,89,9,14,76,4.266272,3.914201,4.289941,4.044379,169
Ridge Runner,Barleywine - English,Rock Art Brewery,20,27,80,22,2,45,29,5,114,3.505556,3.769444,3.458333,3.591667,180
J.W. Lees Harvest Ale (Sherry Cask)J.W. Lees & Co (Brewers) Ltd,Barleywine - English,J.W. Lees & Co (Brewers) Ltd,22,24,134,40,0,85,30,31,101,4.144828,3.868966,4.134483,3.868966,145
Irish Walker,Barleywine - English,Olde Hickory Brewery,62,58,186,52,0,105,40,17,170,3.932692,3.980769,3.971154,3.855769,52
Criminally Bad Elf Barleywine-Style Ale,Barleywine - English,Ridgeway Brewing,52,34,125,44,0,82,52,14,92,3.457143,3.62,3.445714,3.388571,175
Commander,Barleywine - English,Lift Bridge Brewery,71,10,96,17,0,34,11,66,95,3.964286,3.821429,4.035714,4.035714,14
Pugsley's Signature Series: Barley Wine,Barleywine - English,Shipyard Brewing Co.,30,65,124,42,0,63,54,20,130,3.666667,3.949612,3.604651,3.635659,129
Bommen & Granaten,Barleywine - English,Brouwerij De Molen,39,36,144,45,0,88,30,6,70,3.892857,3.440476,3.845238,3.702381,42
Double Old Thumper Ale,Barleywine - English,Shipyard Brewing Co.,63,57,145,54,0,80,68,17,125,3.515873,3.928571,3.452381,3.357143,63
Wooden Hell,Barleywine - English,Flossmoor Station Restaurant & Brewery,90,35,134,28,0,78,44,51,143,4.605263,4.177632,4.605263,4.546053,76
Golden Pride,Barleywine - English,Fuller Smith & Turner PLC,54,37,101,35,0,59,39,4,111,4,4.083333,4.145833,3.958333,72
Stormwatcher's Winterfest,Barleywine - English,Pelican Pub & Brewery,46,29,122,26,2,74,30,16,130,4.188679,4.037736,4.283019,4.113208,53
Old Abominable,Barleywine - English,Stoudts Brewing Co.,23,29,114,33,6,53,36,4,91,3.761905,3.936508,3.68254,3.801587,63
Fuller's ESB,Bitter - English Extra Special / Strong Bitter (ESB),Fuller Smith & Turner PLC,16,41,63,23,0,37,57,10,67,3.912885,4.001216,4.130065,4.194895,1234
Hobgoblin Ruby,Bitter - English Extra Special / Strong Bitter (ESB),Wychwood Brewery Company Ltd,6,49,82,19,0,37,59,13,88,3.539135,3.813594,3.720906,3.774974,971
Sawtooth,Bitter - English Extra Special / Strong Bitter (ESB),Left Hand Brewing Company,2,55,53,18,0,25,78,0,117,3.566553,3.746587,3.691126,3.832765,586
Harvest Ale,Bitter - English Extra Special / Strong Bitter (ESB),Southern Tier Brewing Company,11,74,21,23,0,26,105,9,52,3.938298,3.817021,3.974468,4.071277,470
Old Thumper,Bitter - English Extra Special / Strong Bitter (ESB),Shipyard Brewing Co.,19,57,75,29,0,35,75,5,102,3.565574,3.729508,3.741803,3.754098,366
Abbot Ale,Bitter - English Extra Special / Strong Bitter (ESB),Greene King / Morland Brewery,5,30,63,16,3,19,51,7,92,3.5,3.873512,3.633929,3.764881,336
Anvil,Bitter - English Extra Special / Strong Bitter (ESB),AleSmith Brewing Company,8,54,57,20,3,25,68,3,118,3.774704,3.982213,3.911067,4.037549,253
Scarlet Lady Ale,Bitter - English Extra Special / Strong Bitter (ESB),Stoudts Brewing Co.,4,50,45,21,0,15,82,2,89,3.490305,3.770083,3.578947,3.747922,361
Lord Rear Admiral,Bitter - English Extra Special / Strong Bitter (ESB),Three Floyds Brewing Co. & Brewpub,13,77,118,63,1,105,110,11,117,4.198276,4.193966,4.198276,4.24569,116
Extra Special Ale (ESA),Bitter - English Extra Special / Strong Bitter (ESB),Yards Brewing Co.,11,59,54,20,1,18,75,20,90,3.647773,3.888664,3.813765,3.84413,247
Foster's Premium Ale,Bitter - English Extra Special / Strong Bitter (ESB),Foster's Group Limited,15,45,53,17,0,16,73,7,95,2.701613,3.387097,2.919355,3.104839,124
Belk's ESB,Bitter - English Extra Special / Strong Bitter (ESB),Anderson Valley Brewing Company,16,83,48,43,1,52,123,22,73,3.69883,3.906433,3.856725,3.798246,342
ESB,Bitter - English Extra Special / Strong Bitter (ESB),Green Man Brewery,7,46,65,23,0,29,70,6,123,3.553571,3.785714,3.857143,3.910714,28
Motor Boat,Bitter - English Extra Special / Strong Bitter (ESB),SweetWater Brewing Company,6,92,57,38,2,39,144,9,87,3.757353,3.805147,3.805147,3.878676,136
ESB Special Ale,Bitter - English Extra Special / Strong Bitter (ESB),Ska Brewing Co.,8,61,70,35,1,32,86,12,126,3.403448,3.765517,3.548276,3.768966,145
Autumn Ale,Bitter - English Extra Special / Strong Bitter (ESB),Short's Brewing Company,15,66,68,33,0,50,94,7,107,3.52027,3.641892,3.486486,3.540541,74
Halloween Ale,Bitter - English Extra Special / Strong Bitter (ESB),Gritty McDuff's Brewing Company,12,60,76,26,0,32,78,28,101,3.756906,3.961326,3.883978,3.900552,181
Bishops Finger,Bitter - English Extra Special / Strong Bitter (ESB),Shepherd Neame Ltd,11,44,52,25,1,36,56,6,79,3.548913,3.809783,3.668478,3.690217,92
The 13 Rebels ESB,Bitter - English Extra Special / Strong Bitter (ESB),French Broad Brewing Co.,7,54,41,27,0,26,77,2,84,3.415584,3.577922,3.571429,3.668831,77
Beast Bitter,Bitter - English Extra Special / Strong Bitter (ESB),"Middle Ages Brewing Co., Ltd.",10,112,62,54,0,53,130,8,99,3.810241,3.927711,3.888554,3.900602,166
Moondog Ale,Bitter - English Extra Special / Strong Bitter (ESB),Great Lakes Brewing Company,12,90,71,47,3,52,171,13,120,3.810897,3.862179,3.980769,4.217949,156
Magnumus Ete Tomahawkus ESB³,Bitter - English Extra Special / Strong Bitter (ESB),Rock Art Brewery,22,102,47,45,0,43,134,12,62,3.797101,3.913043,3.833333,3.75,138
The Wise ESB,Bitter - English Extra Special / Strong Bitter (ESB),Elysian Brewing Company,10,105,74,34,1,37,140,12,126,3.80292,4.007299,3.989051,4.047445,137
Red Rack Ale,Bitter - English Extra Special / Strong Bitter (ESB),Woodstock Inn Brewery,12,52,75,38,0,27,66,3,109,3.361111,3.666667,3.45,3.588889,90
Christmas Ale,Bitter - English Extra Special / Strong Bitter (ESB),Gritty McDuff's Brewing Company,22,52,61,24,0,27,67,21,112,3.645833,3.8875,3.841667,3.875,120
Bachelor ESB,Bitter - English Extra Special / Strong Bitter (ESB),Deschutes Brewery,8,73,27,20,0,16,97,7,85,3.808943,4.028455,3.95935,4.052846,123
Bleeding Buckeye Red Ale,Bitter - English Extra Special / Strong Bitter (ESB),Elevator Brewery & Draught Haus,4,45,56,16,0,11,75,3,95,3.407407,3.666667,3.5,3.703704,27
Extra Special Bitter (ESB),Bitter - English Extra Special / Strong Bitter (ESB),Propeller Brewery,9,87,79,30,0,38,112,9,105,3.823171,3.939024,3.914634,3.97561,82
Steel Wheels ESB,Bitter - English Extra Special / Strong Bitter (ESB),Blue Mountain Brewery,21,58,96,33,0,42,74,13,106,3.5,4.5,4,4,1
Batemans XXXB,Bitter - English Extra Special / Strong Bitter (ESB),George Bateman and Son Ltd. / Batemans Brewery,10,62,95,36,0,42,76,14,94,3.828283,3.919192,3.964646,3.984848,99
XX Bitch Creek,Bitter - English Extra Special / Strong Bitter (ESB),Grand Teton Brewing Co.,27,111,86,32,0,40,115,13,169,3.886364,4.068182,3.909091,3.840909,44
Adnams SSB (Suffolk Special Bitter),Bitter - English Extra Special / Strong Bitter (ESB),"Adnams plc, Sole Bay Brewery",18,65,52,33,0,25,69,6,72,3.692857,3.921429,3.878571,3.996429,140
Naughty Hildegard ESB,Bitter - English Extra Special / Strong Bitter (ESB),Driftwood Brewery,11,97,55,49,0,65,129,6,89,4.25,4.285714,4.142857,4.142857,14
Honker's Ale,Bitter - English,Goose Island Beer Co.,3,53,66,28,1,32,58,1,79,3.646552,3.768966,3.824713,4.000575,870
Fuller's London Pride,Bitter - English,Fuller Smith & Turner PLC,9,58,67,32,0,33,101,6,108,3.792364,3.895397,3.976987,4.150105,956
Bluebird Bitter,Bitter - English,Coniston Brewing Co. Ltd,15,62,52,47,2,38,101,23,81,3.724265,3.806985,3.862132,4.112132,272
Spitfire Premium Kentish Ale,Bitter - English,Shepherd Neame Ltd,6,51,29,16,1,15,76,6,61,3.515385,3.869231,3.688462,3.719231,130
Younger's Special Bitter,Bitter - English,Rogue Ales,14,74,44,24,0,20,84,13,89,3.826087,3.846154,3.948161,4.031773,299
The Naughty Nurse,Bitter - English,City Steam Brewery Café,10,65,55,7,0,4,75,9,89,3.344828,3.551724,3.5,3.586207,29
Ruddles County,Bitter - English,Greene King / Morland Brewery,9,65,49,20,0,24,93,14,97,3.564171,3.852941,3.754011,3.818182,187
Foster's Special Bitter,Bitter - English,Foster's Group Limited,8,37,31,30,1,19,43,2,56,2.663462,3.451923,2.88141,3.157051,156
Uncle Teddy's Bitter,Bitter - English,Victory Brewing Company,5,58,44,24,1,25,85,32,88,3.848485,4.121212,4.068182,4.469697,66
Doom Bar,Bitter - English,Sharp's Brewery,2,45,36,10,1,8,49,23,64,3.452381,3.690476,3.452381,3.619048,21
Long Haul Session Ale,Bitter - English,Two Brothers Brewing Company,6,54,48,35,0,23,65,17,88,3.458333,3.784722,3.541667,3.715278,72
Best Bitter,Bitter - English,Gritty McDuff's Brewing Company,4,77,55,26,0,22,101,13,89,3.586066,3.75,3.75,3.864754,122
Old Golden Hen,Bitter - English,Greene King / Morland Brewery,6,67,48,44,3,72,85,11,69,3.333333,3.333333,3.833333,3.5,3
Hopback Summer Lightning,Bitter - English,Hop Back Brewery plc,3,66,18,26,0,18,85,9,36,3.414557,3.772152,3.575949,3.765823,158
Belhaven Best,Bitter - English,Belhaven Brewery Company Ltd.,14,33,63,17,2,18,49,4,99,3.174242,3.878788,3.204545,3.55303,66
Adnams Southwold Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",15,94,97,49,2,55,127,9,85,3.475,3.825,3.65,3.8,20
Geary's Winter Ale,Bitter - English,D.L. Geary Brewing Company,20,37,60,13,0,18,45,19,80,3.3625,3.6,3.483333,3.6,120
Brakspear Bitter,Bitter - English,W.H. Brakspear & Sons plc,5,73,34,19,0,17,85,11,74,3.616071,3.758929,3.642857,3.866071,56
Goliath,Bitter - English,Wychwood Brewery Company Ltd,19,49,47,27,0,24,77,9,74,3.30597,3.641791,3.276119,3.343284,67
McNellie's Pub Ale,Bitter - English,Marshall Brewing Company,7,58,62,34,3,30,96,8,116,3.681034,3.862069,3.87931,4.077586,58
Ruby Red Ale,Bitter - English,St. Peter's Brewery Co Ltd,12,71,73,28,0,33,78,14,122,3.820513,3.75641,3.858974,3.846154,39
Op & Top,Bitter - English,Brouwerij De Molen,8,70,55,72,0,81,112,7,55,3.75,3.785714,3.714286,3.785714,14
Tetley's Smoothflow,Bitter - English,Carlsberg-Tetley Brewing Ltd,10,40,62,21,1,20,55,2,74,3.125,3.892857,3.303571,3.678571,28
Arkell Best Bitter,Bitter - English,Wellington County Brewery,8,79,60,31,4,29,105,4,117,3.630435,3.710145,3.789855,4.014493,69
Chester County Bitter,Bitter - English,Sly Fox Brewing Company,10,74,32,31,0,30,91,37,82,3.576923,3.923077,3.730769,3.903846,26
Cain's Finest Bitter,Bitter - English,Robert Cain & Company Limited,7,68,60,17,1,22,91,3,104,3.35,3.666667,3.483333,3.533333,30
Bitter,Bitter - English,Ridgeway Brewing,5,74,37,44,1,42,100,11,69,3.538961,3.779221,3.649351,3.915584,77
Colonel Blides Cask Ale,Bitter - English,Cricket Hill Brewing Co.,5,61,43,38,3,41,78,8,82,3.545455,3.829545,3.715909,3.829545,44
T.E.A. (Traditional English Ale),Bitter - English,Hog's Back Brewery,10,53,58,43,2,41,81,7,81,3.24359,3.564103,3.307692,3.538462,39
XB Bluebird Bitter,Bitter - English,Coniston Brewing Co. Ltd,2,64,55,73,0,66,82,6,69,3.614583,3.71875,3.447917,3.59375,48
Pitchfork Rebellious Bitter,Bitter - English,RCH Brewery,13,88,41,59,2,60,112,12,64,3.423729,3.949153,3.711864,3.889831,59
HopHead,Bitter - English,Dark Star Brewing Company Limited,8,67,15,33,0,29,85,21,23,4.071429,3.738095,4.166667,4.285714,21
Old Brewery BitterSamuel Smith Old Brewery (Tadcaster),Bitter - English,Samuel Smith Old Brewery (Tadcaster),9,58,62,42,1,41,68,21,75,3.416667,3.866667,3.733333,3.833333,30
Little Dog,Bitter - English,Hair of the Dog Brewing Company / Brewery and Tasting Room,8,44,13,24,3,26,61,9,53,3.678571,3.607143,3.75,3.821429,14
Best Bitter,Bitter - English,St. Peter's Brewery Co Ltd,2,79,47,28,0,20,101,11,82,3.484848,3.590909,3.560606,3.636364,33
Camerons Strongarm,Bitter - English,Castle Eden & Camerons Brewing Company Ltd,13,60,62,22,0,16,66,12,89,3.644068,3.898305,3.661017,3.889831,59
HSB (Horndean Special Bitter),Bitter - English,George Gale & Company Ltd,7,54,40,28,0,29,64,14,64,3.891892,4.040541,4.135135,4.202703,37
St. Patrick's Best,Bitter - English,Strangford Lough Brewing Company Ltd,11,52,77,37,2,31,91,9,109,3.465116,3.662791,3.581395,3.697674,43
Hooky Bitter,Bitter - English,Hook Norton Brewery Co. Ltd.,9,83,71,56,0,58,117,16,113,3.644737,3.907895,3.907895,4.315789,38
West Bank Pub Ale,Bitter - English,Minneapolis Town Hall Brewery,6,86,39,59,1,70,120,14,59,3.744444,3.888889,3.766667,3.988889,45
Adnams Bitter,Bitter - English,"Adnams plc, Sole Bay Brewery",10,95,63,42,0,39,109,13,90,3.522727,3.897727,3.795455,3.852273,44
DeuS (Brut Des Flandres),Bière de Champagne / Bière Brut,Brouwerij Bosteels,24,7,54,39,0,53,35,34,19,4.112457,4.311419,4.181661,4.039792,289
Nelson Sauvignon (Nelson Sauvin Brut),Bière de Champagne / Bière Brut,Mikkeller ApS,10,39,86,119,2,111,47,8,22,4.236111,4.111111,4.180556,4.125,36
Malheur Bière Brut (Brut Reserve),Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,29,16,91,65,6,79,35,13,47,4.029412,4.076471,4.088235,4.088235,85
Malheur Brut Noir (Black Chocolate),Bière de Champagne / Bière Brut,Brouwerij De Landtsheer NV,40,17,124,49,0,95,21,16,70,4.027778,4.194444,4.138889,4.069444,72
Krait Prestige,Bière de Champagne / Bière Brut,Cobra Beer Partnership Limited,35,21,104,49,0,62,30,9,72,3.393617,3.585106,3.425532,3.62766,47
Eisenbahn Lust,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,43,18,109,65,4,67,20,28,62,3.717391,3.956522,3.804348,3.695652,23
Šamp - Pivní Sekt,Bière de Champagne / Bière Brut,Pivovarský,3,10,14,22,0,24,16,3,15,3.75,4.25,3.75,4.25,2
Eisenbahn Lust Prestige,Bière de Champagne / Bière Brut,Cervejaria Sudbrack Ltda,4,1,4,1,0,5,1,0,3,4.166667,4.166667,4.333333,4.333333,3
Summer Love,Blonde Ale - American,Victory Brewing Company,2,61,17,41,2,48,88,3,38,3.736181,3.824121,3.909548,3.919598,199
