Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Pumpkinator,Pumpkin Beer,Saint Arnold Brewing Company,22,24,43,2,3,71,7,111,67,4.554054,4.027027,4.364865,Not Bad old chap! A decent beer you brew 7/8,37
Matt,Strong Ale - American,Hair of the Dog Brewing Company / Brewery and Tasting Room,54,13,87,34,0,50,8,36,70,4.551515,3.875758,4.506061,Not Bad old chap! A decent beer you brew 7/8,165
Zombie Dust,Pale Ale - American,Three Floyds Brewing Co. & Brewpub,14,79,48,72,4,92,115,8,64,4.543257,4.215013,4.492366,Savvy mate! even sober people will love it. 8/8,393
Sang Noir,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,38,1,47,98,0,72,3,19,47,4.538462,4.307692,4.923077,Savvy mate! even sober people will love it. 8/8,13
Blåbær Lambik,Lambic - Fruit,Brasserie Cantillon,6,5,99,119,0,113,12,0,8,4.528846,4.644231,4.628205,Savvy mate! even sober people will love it. 8/8,156
Mother Of All Storms,Barleywine - English,Pelican Pub & Brewery,86,37,156,34,1,77,12,27,168,4.519305,4.206564,4.523166,Not Bad old chap! A decent beer you brew 7/8,259
Bourbon Barrel Aged Plead The 5th,Stout - Russian Imperial,Dark Horse Brewing Company,49,45,70,11,0,17,19,32,117,4.505682,4.295455,4.5,Not Bad old chap! A decent beer you brew 7/8,88
Abrasive Ale,IPA - Imperial,Surly Brewing Company,16,78,73,69,0,111,103,7,47,4.500888,4.24778,4.446714,Not Bad old chap! A decent beer you brew 7/8,563
Helldorado,Barleywine American,Firestone Walker Brewing Co.,56,25,101,23,5,45,48,21,134,4.5,4,4.5,Savvy mate! even sober people will love it. 8/8,1
Bravo 2017,Brown Ale - American,Firestone Walker Brewing Co.,45,20,71,16,2,22,15,20,95,4.5,4.0625,4.4375,Not Bad old chap! A decent beer you brew 7/8,8
Fire Escape,Chile Beer,Asheville Brewing Company,17,9,16,9,5,9,16,50,26,4.5,4,4.333333,Not Bad old chap! A decent beer you brew 7/8,3
Abbey Dubbel,Dubbel,Flying Fish Brewing Company,13,20,95,14,0,49,13,18,65,4.5,4,4.5,Savvy mate! even sober people will love it. 8/8,1
Finlandia Sahti,Farmhouse Ale - Sahti,Finlandia Sahti Ky,9,12,61,20,0,25,17,6,19,4.5,3,3.5,If I'm drunk. This shit's gonna flow heavily! 6/8,2
Cucumber Saison,Fruit and Field Beer,Cigar City Brewing,8,17,21,41,3,36,21,11,13,4.5,3.75,4.125,Not Bad old chap! A decent beer you brew 7/8,4
La Clef Des Champs,Gruit / Ancient Herbed Ale,Brasserie Dieu Du Ciel,1,2,3,1,0,1,17,1,11,4.5,3,3.5,If I'm drunk. This shit's gonna flow heavily! 6/8,1
Big Eye,IPA - American,Ballast Point Brewing Company,9,68,42,53,2,68,103,4,43,4.5,4,3.833333,Not Bad old chap! A decent beer you brew 7/8,3
Boon Oude Lambic,Lambic - Traditional,Brouwerij Boon,2,5,20,48,0,25,7,5,5,4.5,4,4.5,Savvy mate! even sober people will love it. 8/8,1
Lambiek De Cam,Lambic - Traditional,De Cam Geuzestekerij,2,3,9,27,0,17,6,0,2,4.5,3,4.5,Savvy mate! even sober people will love it. 8/8,1
Lambik (2 Year Old Unblended),Lambic - Traditional,Brouwerij Girardin,2,12,21,48,0,24,15,2,9,4.5,4.625,4.875,Savvy mate! even sober people will love it. 8/8,4
Mogli,Porter - Imperial,Caldera Brewing Company,30,31,104,4,0,4,14,23,108,4.5,4.25,4.5,Savvy mate! even sober people will love it. 8/8,10
Mourning Wood,Red Ale - American Amber / Red,Local Option,11,100,44,8,0,2,24,12,140,4.5,3.5,3.5,Not Bad old chap! A decent beer you brew 7/8,1
Speedway Stout - Bourbon Barrel-Aged,Stout - American Imperial,AleSmith Brewing Company,63,60,70,12,0,11,16,12,147,4.5,4.326291,4.492958,Not Bad old chap! A decent beer you brew 7/8,213
Gingerbread Stout,Stout - Sweet / Milk,Hardywood Park Craft Brewery,27,22,71,15,2,10,6,127,124,4.5,4.5,4.642857,Not Bad old chap! A decent beer you brew 7/8,7
Trippel,Tripel,New Belgium Brewing,24,17,42,34,0,47,27,31,26,4.5,3,4,Not Bad old chap! A decent beer you brew 7/8,1
Pilgrim's Dole,Wheat Beer - Wheatwine,New Holland Brewing Company,68,24,119,41,0,62,20,27,119,4.5,4,4,Not Bad old chap! A decent beer you brew 7/8,1
Umami,Wheat Beer - Wheatwine,The Livery,2,0,4,0,0,0,0,0,4,4.5,3.5,4.5,Savvy mate! even sober people will love it. 8/8,1
Aecht Schlenkerla Rauchbier Urbock,Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,11,20,45,4,2,6,17,78,80,4.253484,4.05662,4.162892,If I'm drunk. This shit's gonna flow heavily! 6/8,574
Alpha King,Pale Ale - American,Three Floyds Brewing Co. & Brewpub,6,45,37,41,1,46,78,6,55,4.253429,4.11855,4.32887,Not Bad old chap! A decent beer you brew 7/8,1531
Dorado,IPA - Imperial,Ballast Point Brewing Company,18,67,57,72,2,92,89,3,47,4.251534,4.145706,4.245399,Not Bad old chap! A decent beer you brew 7/8,326
Naughty Hildegard ESB,Bitter - English Extra Special / Strong Bitter (ESB),Driftwood Brewery,11,97,55,49,0,65,129,6,89,4.25,4.285714,4.142857,Not Bad old chap! A decent beer you brew 7/8,14
Hummingbird,Braggot,Mountain Sun Pub & Brewery,7,4,21,2,0,4,6,6,16,4.25,4,4,Not Bad old chap! A decent beer you brew 7/8,4
Helios Goya Dry,Happoshu,"Helios Distillery Co., Ltd.",3,13,8,6,0,6,14,5,7,4.25,4,4.25,Savvy mate! even sober people will love it. 8/8,2
Anger,IPA - Black / Cascadian Dark Ale,Greenbush Brewing Company,11,79,29,27,0,25,86,3,61,4.25,4,4.4375,Not Bad old chap! A decent beer you brew 7/8,8
Rahr's Blonde,Lager - Helles,Rahr & Sons Brewing Company,6,18,18,18,1,14,26,4,40,4.25,3.75,3.5,If I'm drunk. This shit's gonna flow heavily! 6/8,2
Hallerndorfer Raiterla Rauchbier,Lager - Rauchbier,Brauerei Gasthof Rittmayer,6,8,16,2,3,3,10,34,27,4.25,3.75,4.125,If I'm drunk. This shit's gonna flow heavily! 6/8,4
Bamberg Rauchbier,Lager - Rauchbier,Micro Cervejaria Bamberg,5,2,7,3,0,2,2,23,20,4.25,3.5,3.5,If I'm drunk. This shit's gonna flow heavily! 6/8,2
Boon Lambiek,Lambic - Traditional,Brouwerij Boon,0,0,3,19,0,4,2,2,4,4.25,4.25,4.25,Not Bad old chap! A decent beer you brew 7/8,4
Oude Lambik,Lambic - Traditional,Brouwerij Lindemans,0,1,6,17,0,14,0,4,0,4.25,4,4,Not Bad old chap! A decent beer you brew 7/8,2
Tilquin Jonge Lambic,Lambic - Traditional,Gueuzerie Tilquin,1,1,5,5,0,5,2,0,0,4.25,3.75,4,If I'm drunk. This shit's gonna flow heavily! 6/8,2
Mild At Heart,Mild Ale - English Dark,Wandering Star Brewing Company,8,23,31,7,0,6,15,12,77,4.25,4,4.083333,Not Bad old chap! A decent beer you brew 7/8,6
Smoke Signal,Porter - Smoked,Swamp Head Brewery & Tasting Room,2,23,32,6,0,4,14,78,51,4.25,4.125,4.5,Not Bad old chap! A decent beer you brew 7/8,4
Porter-Smoked,Porter - Smoked,COAST Brewing Company,9,35,48,3,0,7,17,101,102,4.25,4.4,4.225,Not Bad old chap! A decent beer you brew 7/8,20
La Trappe Quadrupel - Oak-Aged,Quadrupel (Quad),Bierbrouwerij De Koningshoeven B.V.,74,25,103,35,0,68,18,33,89,4.25,3.986111,4.326389,Not Bad old chap! A decent beer you brew 7/8,72
Roggenschnizzle,Rye Beer - Roggenbier,The Bier Brewery,0,0,0,0,0,0,0,2,9,4.25,4.25,4.5,Savvy mate! even sober people will love it. 8/8,2
SoBro,Sour - Flanders Oud Bruin,Three Floyds Brewing Co. & Brewpub,4,4,8,25,0,15,3,2,5,4.25,3.5,4.25,Not Bad old chap! A decent beer you brew 7/8,2
Ten FIDY - Bourbon Barrel Aged,Stout - American Imperial,Oskar Blues Grill & Brew,88,52,80,2,0,7,15,30,142,4.25,4.25,5,Savvy mate! even sober people will love it. 8/8,2
Dancing Man,Wheat Beer - Hefeweizen,New Glarus Brewing Company,20,9,32,50,2,92,16,69,59,4.249315,4.236986,4.335616,Not Bad old chap! A decent beer you brew 7/8,365
Maharaja,IPA - Imperial,Avery Brewing Company,17,59,49,60,1,56,83,5,57,4.249191,4.200324,4.215858,Not Bad old chap! A decent beer you brew 7/8,1545
Trappistes Rochefort 8,Strong Ale - Belgian Dark,Brasserie de Rochefort,28,18,125,34,0,68,15,28,88,4.246316,4.237988,4.36419,Not Bad old chap! A decent beer you brew 7/8,1561
Porter,Porter - Robust,Founders Brewing Company,8,84,63,13,0,15,57,9,125,4.144444,4.158333,4.292778,Not Bad old chap! A decent beer you brew 7/8,900
Blackout Stout,Stout - Russian Imperial,Great Lakes Brewing Company,20,63,54,12,0,12,36,4,89,4.143678,4.144201,4.288401,Not Bad old chap! A decent beer you brew 7/8,957
Primus Weizenbock,Bock - Weizenbock,Live Oak Brewing Company,15,17,59,24,0,65,19,46,82,4.142857,4.011905,4.190476,If I'm drunk. This shit's gonna flow heavily! 6/8,42
Two Weeks Notice,Gruit / Ancient Herbed Ale,Moonlight Brewing Company,3,7,1,8,2,10,35,5,9,4.142857,3.5,3.714286,If I'm drunk. This shit's gonna flow heavily! 6/8,7
Sorachi Ace,Farmhouse Ale - Saison,Brooklyn Brewery,12,33,31,83,0,83,43,26,31,4.081989,4.146505,4.106183,Not Bad old chap! A decent beer you brew 7/8,372
Sexual Chocolate,Stout - Russian Imperial,Foothills Brewing Company,16,79,89,18,2,30,30,14,141,4.080332,4.260388,4.149584,Not Bad old chap! A decent beer you brew 7/8,361
Saison Dupont,Farmhouse Ale - Saison,Brasserie Dupont sprl,12,25,22,55,3,44,47,23,19,4.079483,4.2639,4.182067,Not Bad old chap! A decent beer you brew 7/8,1277
La Chouffe (Blonde),Strong Ale - Belgian Pale,Brasserie d'Achouffe,21,23,65,64,0,75,57,33,33,4.079085,4.138562,4.19281,Not Bad old chap! A decent beer you brew 7/8,765
Tank 7,Farmhouse Ale - Saison,Boulevard Brewing Co.,23,39,34,70,4,86,58,30,17,4.063855,4.157831,4.110843,Not Bad old chap! A decent beer you brew 7/8,415
Bourbon Barrel Aged Winter Warmer,Winter Warmer,Rahr & Sons Brewing Company,92,35,81,24,0,34,32,55,129,4.063492,4.02381,4.190476,Not Bad old chap! A decent beer you brew 7/8,63
Titan IPA,IPA - American,Great Divide Brewing Company,9,78,46,54,0,69,105,6,61,4.063386,4.114961,4.158268,Not Bad old chap! A decent beer you brew 7/8,1270
White Oak,Wheat Beer - Wheatwine,The Bruery,85,7,99,49,0,68,7,48,110,4.063291,4.113924,4.056962,If I'm drunk. This shit's gonna flow heavily! 6/8,79
Framboise,Lambic - Fruit,Brouwerij Lindemans,13,5,174,91,0,125,10,9,23,4.062569,4.095238,3.987265,If I'm drunk. This shit's gonna flow heavily! 6/8,903
Vanilla Oatis,Stout - Oatmeal,Ninkasi Brewing Company,22,55,53,2,0,0,30,51,129,4.0625,4.125,4.0625,Not Bad old chap! A decent beer you brew 7/8,8
Neapolitan Milk Stout,Stout - Sweet / Milk,Saugatuck Brewing Company,7,25,96,8,0,54,16,27,84,4.0625,3.9375,4.25,Not Bad old chap! A decent beer you brew 7/8,8
Friek,Wild Ale,Odell Brewing Company,5,8,87,100,5,123,10,2,16,4.0625,3.692308,3.971154,If I'm drunk. This shit's gonna flow heavily! 6/8,104
Grand Cru,Strong Ale - Belgian Dark,Allagash Brewing Company,42,19,119,63,1,91,29,64,70,4.062118,4.121181,4.124236,Not Bad old chap! A decent beer you brew 7/8,491
Kasteel Cuvée Du Chateau,Quadrupel (Quad),Brouwerij Van Honsebrouck N.V.,47,19,100,32,1,62,12,30,55,4.061538,4.123077,4.084615,Not Bad old chap! A decent beer you brew 7/8,65
Gouden Carolus Noël / Christmas,Strong Ale - Belgian Dark,Brouwerij Het Anker,50,24,92,28,0,58,12,38,89,4.061151,4.05036,4.061151,If I'm drunk. This shit's gonna flow heavily! 6/8,417
Corsendonk Christmas Ale,Strong Ale - Belgian Dark,Brouwerij Corsendonk,16,22,89,25,0,66,26,40,75,4.061077,4.1853,4.173913,Not Bad old chap! A decent beer you brew 7/8,483
Gnomegang,Strong Ale - Belgian Pale,Brewery Ommegang,34,25,53,40,0,47,41,32,27,4.061069,3.977099,4.14313,Not Bad old chap! A decent beer you brew 7/8,262
The 10 Commandments,Strong Ale - Belgian Dark,The Lost Abbey,58,29,119,41,0,80,36,27,67,4.061017,3.986441,3.986441,If I'm drunk. This shit's gonna flow heavily! 6/8,295
Akevitt,Porter - Baltic,HaandBryggeriet,44,75,103,22,0,27,62,37,148,4.060811,3.966216,3.966216,If I'm drunk. This shit's gonna flow heavily! 6/8,74
Green Flash Le Freak,IPA - Belgian,Green Flash Brewing Co.,23,75,65,76,2,83,101,24,50,4.060277,4.121542,4.085968,If I'm drunk. This shit's gonna flow heavily! 6/8,506
Hoppy Daze IPA,IPA - Belgian,Coronado Brewing Company,25,57,34,68,1,73,102,37,37,4.06,3.96,3.93,If I'm drunk. This shit's gonna flow heavily! 6/8,50
St. Lupulin,Pale Ale - American,Odell Brewing Company,12,63,42,53,5,78,105,4,57,4.058989,3.960674,4.064607,Not Bad old chap! A decent beer you brew 7/8,178
Oud Beersel Oude Geuze Vieille,Lambic - Gueuze,Brouwerij Oud Beersel,16,12,64,183,0,87,21,7,14,4.057751,4.066869,3.987842,Not Bad old chap! A decent beer you brew 7/8,329
Hop Head Red Ale,Red Ale - Imperial,Green Flash Brewing Co.,16,85,45,27,0,32,105,10,74,4.057607,4.121123,4.060561,Not Bad old chap! A decent beer you brew 7/8,677
Tucher Bajuvator Doppelbock,Bock - Doppelbock,Brauerei Tucher Brau,37,58,152,42,0,72,47,8,172,4.057377,4.032787,4.169399,Not Bad old chap! A decent beer you brew 7/8,183
Raging Bitch,IPA - Belgian,Flying Dog Brewery,20,63,39,57,0,70,80,29,40,4.057062,4.080226,4.051412,If I'm drunk. This shit's gonna flow heavily! 6/8,885
Lunatic Lager,Lager - European / Dortmunder Export,Moonlight Brewing Company,11,61,41,52,5,52,79,9,79,4.055556,4.138889,4.222222,Not Bad old chap! A decent beer you brew 7/8,18
Heart Of Darkness,Stout - English,Magic Hat Brewing Company,6,52,72,13,1,18,40,2,99,4.022901,4.072519,4.041985,Not Bad old chap! A decent beer you brew 7/8,131
Double Ice Bock,Bock - Eisbock,Southampton Publick House,79,15,171,49,0,77,13,10,119,4.022727,3.954545,4.181818,Not Bad old chap! A decent beer you brew 7/8,22
Hop Wallop,IPA - American,Victory Brewing Company,9,79,33,42,4,47,124,4,47,4.022552,4.0022,4.113311,If I'm drunk. This shit's gonna flow heavily! 6/8,1818
Samichlaus Classic Bier,Bock - Doppelbock,Brauerei Schloss Eggenberg,57,16,138,18,0,58,14,10,104,4.022234,3.876356,4.062907,If I'm drunk. This shit's gonna flow heavily! 6/8,922
Abbey,Dubbel,New Belgium Brewing,16,25,103,37,1,86,31,24,85,4.021094,4.057812,4.01875,If I'm drunk. This shit's gonna flow heavily! 6/8,640
The 2XIPA,IPA - Imperial,Southern Tier Brewing Company,14,67,42,46,0,45,89,1,35,4.021067,3.916433,4.044242,Not Bad old chap! A decent beer you brew 7/8,712
White,Wheat Beer - Witbier,Allagash Brewing Company,8,10,17,47,3,59,27,31,35,4.020246,4.029049,4.128521,Not Bad old chap! A decent beer you brew 7/8,1136
Wood Ya Honey,Wheat Beer - Wheatwine,Jackie O's Pub & Brewery,89,11,124,11,2,27,11,27,170,4.02,3.92,4.2,If I'm drunk. This shit's gonna flow heavily! 6/8,25
Torpedo Extra IPA,IPA - American,Sierra Nevada Brewing Co.,11,57,31,37,0,43,107,6,38,4.019961,4.170527,4.113849,Not Bad old chap! A decent beer you brew 7/8,2029
"Smuttynose IPA ""Finest Kind""""",IPA - American,Smuttynose Brewing Company,14,70,39,55,0,67,93,6,38,4.019706,4.051102,4.175351,Not Bad old chap! A decent beer you brew 7/8,1497
Tripel (White),Tripel,Bières de Chimay S.A.,25,38,62,43,1,57,59,25,33,4.019364,4.165284,4.104426,Not Bad old chap! A decent beer you brew 7/8,1446
Benji's Chipotle Smoked Imperial Porter,Porter - Smoked,Tyranena Brewing Company,28,31,52,5,0,6,10,173,88,4.019048,3.933333,4.142857,Not Bad old chap! A decent beer you brew 7/8,105
Oatmeal StoutSamuel Smith Old Brewery (Tadcaster),Stout - Oatmeal,Samuel Smith Old Brewery (Tadcaster),8,50,90,12,0,32,42,14,123,4.018272,4.250864,4.266667,Not Bad old chap! A decent beer you brew 7/8,2025
Carnegie Porter 5-5%,Porter - Baltic,Carlsberg Sverige AB,14,52,110,29,0,40,29,12,126,4.018152,4.023102,4.186469,Not Bad old chap! A decent beer you brew 7/8,303
Indian Brown Ale,Brown Ale - American,Dogfish Head Brewery,18,82,53,13,0,15,71,6,93,4.017743,4.048284,4.173357,Not Bad old chap! A decent beer you brew 7/8,1719
Grand Cru,Quadrupel (Quad),Brasserie de l'Abbaye du Val-Dieu,42,21,135,34,0,80,14,21,58,4.017544,4.192982,4.241228,Not Bad old chap! A decent beer you brew 7/8,114
The 32°/50° Kölsch,Kölsch,COAST Brewing Company,3,32,46,34,3,41,61,9,91,4.016484,4.076923,4.241758,Savvy mate! even sober people will love it. 8/8,91
Hibernation Ale,Old Ale,Great Divide Brewing Company,41,50,93,14,1,24,35,3,139,4.016079,4.055498,4.107884,If I'm drunk. This shit's gonna flow heavily! 6/8,964
Première (Red),Dubbel,Bières de Chimay S.A.,17,15,120,32,0,71,20,39,81,4.015825,4.075421,4.112458,Not Bad old chap! A decent beer you brew 7/8,1485
Oatmeal Raisin Cookie Brown Ale,Brown Ale - English,Cigar City Brewing,12,19,133,18,3,60,17,72,162,4.014706,3.970588,4.125,If I'm drunk. This shit's gonna flow heavily! 6/8,136
Saison Du BUFF,Farmhouse Ale - Saison,Dogfish Head Brewery,12,22,15,29,0,21,146,35,26,4.014644,4.031381,3.841004,If I'm drunk. This shit's gonna flow heavily! 6/8,239
Oude Kriek,Lambic - Fruit,Hanssens Artisanaal bvba,9,0,36,157,0,91,6,5,8,4.01378,3.905512,4.122047,If I'm drunk. This shit's gonna flow heavily! 6/8,254
Maple Stout,Stout - English,Cannery Brewing Company,7,52,202,6,0,14,18,18,211,4.013158,3.855263,3.881579,If I'm drunk. This shit's gonna flow heavily! 6/8,38
De Troch Jonge Lambik,Lambic - Traditional,Brouwerij De Troch,1,0,0,5,0,0,0,0,0,4,4,4.5,Savvy mate! even sober people will love it. 8/8,1
Mort Subite Blonde Lambic,Lambic - Traditional,Brouwerij Mort Subite,0,4,4,11,0,4,6,0,0,4,4.5,4,Not Bad old chap! A decent beer you brew 7/8,1
Oud,Lambic - Traditional,Brouwerij Bockor N.V.,1,1,11,34,0,19,2,1,7,4,3.25,3.75,"Alrighty. Sell it cheap, that could work. 5/8",2
J. Henry Original Mild Ale,Mild Ale - English Dark,Calfkiller Brewing Company,0,5,18,1,0,5,4,1,24,4,3.5,4,Not Bad old chap! A decent beer you brew 7/8,1
Pale Ale,Pale Ale - American,Sierra Nevada Brewing Co.,15,60,39,37,2,45,96,5,48,4,3,4,Not Bad old chap! A decent beer you brew 7/8,1
Hans' Pils,Pilsner - German,Real Ale Brewing Company,9,43,19,20,2,20,73,10,49,4,3.958333,4,Not Bad old chap! A decent beer you brew 7/8,12
Braumeister Pils,Pilsner - German,Victory Brewing Company,4,48,18,5,5,7,82,11,54,4,3.988636,4.215909,Not Bad old chap! A decent beer you brew 7/8,44
Edmund Fitzgerald,Porter - American,Great Lakes Brewing Company,4,78,75,7,0,11,47,10,142,4,4.5,4,Savvy mate! even sober people will love it. 8/8,1
Coco Loco,Porter - American,NoDa Brewing Company,13,55,75,5,1,70,27,7,148,4,4.166667,4.416667,Not Bad old chap! A decent beer you brew 7/8,6
Double Brown Stout,Porter - Baltic,Deep Ellum Brewing Company,18,49,99,13,0,22,16,10,153,4,4,4.5,Not Bad old chap! A decent beer you brew 7/8,1
Black Duck Porter,Porter - English,Greenport Harbor Brewing Company,7,78,62,11,0,13,49,13,110,4,4.15625,4.125,Not Bad old chap! A decent beer you brew 7/8,16
Gonzo - Barrel-Aged,Porter - Imperial,Flying Dog Brewery,95,58,86,16,0,24,23,33,154,4,4,4.25,Not Bad old chap! A decent beer you brew 7/8,8
People's Porter - Barrel-Aged,Porter - Robust,Foothills Brewing Company,71,44,96,10,1,26,13,30,150,4,4,3.881579,If I'm drunk. This shit's gonna flow heavily! 6/8,38
Leaning Chimney Porter,Porter - Smoked,Grey Sail Brewing of Rhode Island,11,48,44,4,0,3,28,58,91,4,4,4.5,Not Bad old chap! A decent beer you brew 7/8,1
The Big Smoke,Porter - Smoked,8 Wired Brewing Co.,18,60,89,25,0,28,37,118,133,4,4.0625,3.78125,If I'm drunk. This shit's gonna flow heavily! 6/8,32
Big Black Smoke,Porter - Smoked,Great Lakes Brewing Company,9,32,52,9,0,8,10,74,89,4,4.021739,4.173913,Not Bad old chap! A decent beer you brew 7/8,23
Night Owl Pumpkin Ale,Pumpkin Beer,Elysian Brewing Company,7,14,36,13,2,92,19,118,40,4,3.933673,3.862245,If I'm drunk. This shit's gonna flow heavily! 6/8,196
Stickee Monkee,Quadrupel (Quad),Firestone Walker Brewing Co.,67,35,148,19,0,77,4,26,130,4,3.916667,4.25,Not Bad old chap! A decent beer you brew 7/8,6
Big Red Coq,Red Ale - American Amber / Red,Brewery Vivant,5,47,37,50,0,53,62,6,40,4,4.0625,4,Not Bad old chap! A decent beer you brew 7/8,8
King Crimson,Red Ale - Imperial,Peak Organic Brewing Company,34,72,72,28,0,23,94,2,109,4,4.119048,3.952381,If I'm drunk. This shit's gonna flow heavily! 6/8,42
Tippy Toboggan,Rye Beer - Roggenbier,Vintage Brewing Company,2,9,6,4,0,1,9,8,17,4,3.5,4,If I'm drunk. This shit's gonna flow heavily! 6/8,3
Rye Pale Ale,Rye Beer,The Bronx Brewery,13,62,40,59,0,63,89,26,121,4,3.5,4,Not Bad old chap! A decent beer you brew 7/8,2
Bridal Veil Rye Pale Ale,Rye Beer,Telluride Brewing Co.,8,72,26,45,1,53,96,27,103,4,4,4.5,Savvy mate! even sober people will love it. 8/8,1
Sheep Shagger Scotch Ale,Scotch Ale / Wee Heavy,Tyranena Brewing Company,39,23,73,8,1,13,32,16,109,4,3.838028,4.119718,Not Bad old chap! A decent beer you brew 7/8,71
Smoking Wood - Bourbon Barrel-Aged,Smoked Beer,The Bruery,85,32,76,4,1,10,6,99,131,4,4.166667,3.833333,Not Bad old chap! A decent beer you brew 7/8,6
Madamin,Sour - Flanders Oud Bruin,LoverBeer,14,10,80,172,3,97,25,12,44,4,3.944444,3.777778,Not Bad old chap! A decent beer you brew 7/8,9
Speedway Stout - Vietnamese Coffee,Stout - American Imperial,AleSmith Brewing Company,20,114,55,4,0,3,21,18,174,4,4.375,3.875,Not Bad old chap! A decent beer you brew 7/8,4
Blue Bridge Coffee Stout,Stout - American,Coronado Brewing Company,7,91,28,6,0,5,15,3,126,4,4,4,Not Bad old chap! A decent beer you brew 7/8,2
Pemaquid Oyster Stout,Stout - English,Marshall Wharf Brewing Company / Three Tides Restaurant,1,25,34,0,6,1,14,8,67,4,4.375,4.375,Not Bad old chap! A decent beer you brew 7/8,4
Simcoe Silly,IPA - Belgian,Kuhnhenn Brewing Company,36,61,82,76,1,111,73,35,44,3.914286,3.852381,3.87619,If I'm drunk. This shit's gonna flow heavily! 6/8,105
Headwaters Pale Ale,Pale Ale - American,Victory Brewing Company,7,58,27,37,1,48,103,3,52,3.913408,3.917598,3.912011,If I'm drunk. This shit's gonna flow heavily! 6/8,358
Fuller's ESB,Bitter - English Extra Special / Strong Bitter (ESB),Fuller Smith & Turner PLC,16,41,63,23,0,37,57,10,67,3.912885,4.001216,4.130065,Not Bad old chap! A decent beer you brew 7/8,1234
Schell's Schmaltz's Alt,Altbier,August Schell Brewing Company,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.9375,Not Bad old chap! A decent beer you brew 7/8,40
Lil' Devil,Pale Ale - Belgian,AleSmith Brewing Company,16,36,57,59,1,80,57,33,47,3.9125,3.725,3.85,If I'm drunk. This shit's gonna flow heavily! 6/8,40
Yakima Glory,IPA - Black / Cascadian Dark Ale,Victory Brewing Company,17,103,52,43,0,61,103,10,85,3.911852,4.122963,3.985185,If I'm drunk. This shit's gonna flow heavily! 6/8,675
Double Double Barrel Ale,Barleywine - English,Firestone Walker Brewing Co.,49,16,67,13,0,35,9,32,101,3.911765,4.117647,4.264706,Not Bad old chap! A decent beer you brew 7/8,17
Son Of A Peach,Fruit and Field Beer,RJ Rockers Brewing Company,6,8,28,26,0,92,10,3,32,3.911765,3.607843,3.553922,If I'm drunk. This shit's gonna flow heavily! 6/8,102
