Name,Style,Brewery,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_taste,review_overall,number_of_reviews
Bravo 2017,Brown Ale - American,Firestone Walker Brewing Co.,45,20,71,16,2,22,15,20,95,4.5,4.0625,4.4375,savvy mate! even sober people will love it.,8
Fire Escape,Chile Beer,Asheville Brewing Company,17,9,16,9,5,9,16,50,26,4.5,4,4.333333,savvy mate! even sober people will love it.,3
Abbey Dubbel,Dubbel,Flying Fish Brewing Company,13,20,95,14,0,49,13,18,65,4.5,4,4.5,savvy mate! even sober people will love it.,1
Finlandia Sahti,Farmhouse Ale - Sahti,Finlandia Sahti Ky,9,12,61,20,0,25,17,6,19,4.5,3,3.5,"alrighty. Sell it cheap, that could work.",2
Cucumber Saison,Fruit and Field Beer,Cigar City Brewing,8,17,21,41,3,36,21,11,13,4.5,3.75,4.125,savvy mate! even sober people will love it.,4
La Clef Des Champs,Gruit / Ancient Herbed Ale,Brasserie Dieu Du Ciel,1,2,3,1,0,1,17,1,11,4.5,3,3.5,"alrighty. Sell it cheap, that could work.",1
Big Eye,IPA - American,Ballast Point Brewing Company,9,68,42,53,2,68,103,4,43,4.5,4,3.833333,savvy mate! even sober people will love it.,3
Boon Oude Lambic,Lambic - Traditional,Brouwerij Boon,2,5,20,48,0,25,7,5,5,4.5,4,4.5,savvy mate! even sober people will love it.,1
Lambiek De Cam,Lambic - Traditional,De Cam Geuzestekerij,2,3,9,27,0,17,6,0,2,4.5,3,4.5,savvy mate! even sober people will love it.,1
Lambik (2 Year Old Unblended),Lambic - Traditional,Brouwerij Girardin,2,12,21,48,0,24,15,2,9,4.5,4.625,4.875,5,4
Mogli,Porter - Imperial,Caldera Brewing Company,30,31,104,4,0,4,14,23,108,4.5,4.25,4.5,savvy mate! even sober people will love it.,10
Mourning Wood,Red Ale - American Amber / Red,Local Option,11,100,44,8,0,2,24,12,140,4.5,3.5,3.5,savvy mate! even sober people will love it.,1
Speedway Stout - Bourbon Barrel-Aged,Stout - American Imperial,AleSmith Brewing Company,63,60,70,12,0,11,16,12,147,4.5,4.326291,4.492958,savvy mate! even sober people will love it.,213
Gingerbread Stout,Stout - Sweet / Milk,Hardywood Park Craft Brewery,27,22,71,15,2,10,6,127,124,4.5,4.5,4.642857,savvy mate! even sober people will love it.,7
Trippel,Tripel,New Belgium Brewing,24,17,42,34,0,47,27,31,26,4.5,3,4,savvy mate! even sober people will love it.,1
Pilgrim's Dole,Wheat Beer - Wheatwine,New Holland Brewing Company,68,24,119,41,0,62,20,27,119,4.5,4,4,savvy mate! even sober people will love it.,1
Umami,Wheat Beer - Wheatwine,The Livery,2,0,4,0,0,0,0,0,4,4.5,3.5,4.5,savvy mate! even sober people will love it.,1
Imperial Eclipse Stout - Elijah Craig (12 Year),Stout - American Imperial,FiftyFifty Brewing Co.,38,24,75,4,0,5,4,11,109,4.493902,4.042683,4.542683,savvy mate! even sober people will love it.,82
Chocolate Rain,Stout - American Imperial,The Bruery,51,27,69,7,0,14,5,25,88,4.481132,4.080189,4.396226,savvy mate! even sober people will love it.,106
Black Tuesday,Stout - American Imperial,The Bruery,95,25,106,17,1,43,3,30,126,4.47769,4.301837,4.510499,savvy mate! even sober people will love it.,381
Great,Barleywine American,Alpine Beer Company,36,14,81,14,0,35,10,10,76,4.470588,3.890756,4.5,savvy mate! even sober people will love it.,119
Choklat (Blackwater Series),Stout - American Imperial,Southern Tier Brewing Company,18,39,110,4,0,10,20,17,158,4.467028,4.111853,4.321786,savvy mate! even sober people will love it.,1198
Dreadnaught IPA,IPA - Imperial,Three Floyds Brewing Co. & Brewpub,21,45,51,62,2,93,59,0,46,4.459824,4.251857,4.457461,savvy mate! even sober people will love it.,1481
B-Bomb (Bourbon Abominable Winter Ale),Strong Ale - American,Fremont Brewing Company,82,42,93,11,0,41,20,48,153,4.458333,4,4.333333,savvy mate! even sober people will love it.,12
Hoponius Union,Lager - India Pale Lager (IPL),Jack's Abby Brewing,16,87,35,52,3,56,106,10,54,4.454545,4.136364,4.272727,savvy mate! even sober people will love it.,22
Samuel Adams UtopiasBoston Beer Company (Samuel Adams),Strong Ale - American,Boston Beer Company (Samuel Adams),64,30,108,18,0,76,13,42,107,4.453521,4.198592,4.467606,savvy mate! even sober people will love it.,355
Old Backus Barleywine,Barleywine American,Free State Brewing Co.,45,56,127,39,1,49,62,4,108,4.446429,4.116071,4.491071,savvy mate! even sober people will love it.,56
Fou' Foune,Lambic - Fruit,Brasserie Cantillon,2,4,66,112,1,107,16,1,5,4.445848,4.191336,4.453069,savvy mate! even sober people will love it.,277
The Abyss,Stout - American Imperial,Deschutes Brewery,28,64,65,8,0,30,18,7,115,4.443343,4.593484,4.588173,savvy mate! even sober people will love it.,1412
Bligh's Barleywine Ale,Barleywine - English,Dry Dock Brewing Co.,64,13,123,31,0,46,7,18,96,4.44,4.07,4.5,savvy mate! even sober people will love it.,50
Nelson,IPA - American,Alpine Beer Company,7,60,50,85,2,128,78,13,49,4.436603,4.157895,4.357656,savvy mate! even sober people will love it.,418
Bourbon County Brand Stout,Stout - American Imperial,Goose Island Beer Co.,69,41,83,9,0,36,8,24,134,4.43538,4.20117,4.482164,savvy mate! even sober people will love it.,1710
Supplication,Wild Ale,Russian River Brewing Company,9,5,26,123,3,72,20,7,9,4.431624,4.291548,4.566002,savvy mate! even sober people will love it.,1053
Bourbon County Brand Vanilla Stout,Stout - American Imperial,Goose Island Beer Co.,68,33,74,3,1,4,16,79,133,4.429739,4.147059,4.413399,savvy mate! even sober people will love it.,306
Wee Heavy - Barrel-Aged,Scotch Ale / Wee Heavy,AleSmith Brewing Company,123,11,93,16,0,30,11,35,171,4.427711,3.951807,4.36747,savvy mate! even sober people will love it.,83
Sexual Chocolate - Barrel-Aged,Stout - Russian Imperial,Foothills Brewing Company,63,35,77,5,1,11,11,9,146,4.426471,4.253676,4.408088,savvy mate! even sober people will love it.,136
Trappist Westvleteren 8 (VIII)Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),Dubbel,Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),23,37,115,25,0,77,48,22,75,4.42645,4.415842,4.553041,savvy mate! even sober people will love it.,707
Lou Pepe - Framboise,Lambic - Fruit,Brasserie Cantillon,6,4,80,98,1,77,5,3,8,4.423077,4.153846,4.115385,savvy mate! even sober people will love it.,13
Mélange No. 3,Strong Ale - American,The Bruery,61,18,99,23,0,57,10,21,114,4.422727,4.063636,4.422727,savvy mate! even sober people will love it.,110
Rise Up Coffee Stout,Stout - American,Evolution Craft Brewing Company,9,114,32,4,0,1,28,8,146,4.421053,4.184211,4.421053,savvy mate! even sober people will love it.,19
Planet Bean,Stout - American,Spring House Brewing Company,9,133,46,9,0,8,16,5,173,4.420792,4.118812,4.123762,savvy mate! even sober people will love it.,101
Bourbon Barrel-Aged Barley Wine,Barleywine - English,Kuhnhenn Brewing Company,94,24,99,14,1,44,8,25,123,4.419492,3.936441,4.34322,savvy mate! even sober people will love it.,118
Old Stock Cellar Reserve (Aged In Bourbon Barrels),Old Ale,North Coast Brewing Co.,79,35,106,15,0,38,7,21,128,4.419048,3.919048,4.416667,savvy mate! even sober people will love it.,210
Trappistes Rochefort 10,Quadrupel (Quad),Brasserie de Rochefort,46,22,90,26,0,63,13,11,88,4.418664,4.344931,4.543548,savvy mate! even sober people will love it.,2170
Cable Car,Wild Ale,The Lost Abbey,3,6,46,132,0,85,5,10,11,4.416185,4.16474,4.526012,savvy mate! even sober people will love it.,173
Abner,IPA - New England,Hill Farmstead Brewery,8,68,50,79,0,139,88,3,24,4.413636,4.181818,4.463636,savvy mate! even sober people will love it.,110
Wisconsin Belgian Red,Fruit and Field Beer,New Glarus Brewing Company,8,9,81,67,0,137,16,6,32,4.412228,4.121671,4.434019,savvy mate! even sober people will love it.,826
Duck Duck Gooze,Lambic - Gueuze,The Lost Abbey,5,5,48,137,0,65,10,1,9,4.412088,4.247253,4.57967,savvy mate! even sober people will love it.,182
Breakfast Stout,Stout - Oatmeal,Founders Brewing Company,23,95,62,1,0,3,22,12,165,4.41207,4.364508,4.501199,savvy mate! even sober people will love it.,2502
Bar Fly,Smoked Beer,Midnight Sun Brewing Co.,64,46,96,11,1,26,12,82,131,4.411111,4.322222,4.566667,savvy mate! even sober people will love it.,45
Beatification,Wild Ale,Russian River Brewing Company,15,10,40,171,0,77,15,3,14,4.40483,4.130682,4.495739,savvy mate! even sober people will love it.,352
Framboise For A Cure,Wild Ale,Russian River Brewing Company,2,5,90,135,0,102,11,0,4,4.401515,4.378788,4.310606,savvy mate! even sober people will love it.,66
Rodenbach Alexander,Sour - Flanders Red Ale,Brouwerij Rodenbach N.V.,7,6,95,106,0,106,7,7,9,4.398148,4.12037,4.62963,savvy mate! even sober people will love it.,54
Duet,IPA - American,Alpine Beer Company,7,60,31,56,1,77,91,6,27,4.394947,4.203457,4.316489,savvy mate! even sober people will love it.,376
Edward,Pale Ale - American,Hill Farmstead Brewery,4,47,35,59,3,89,64,0,27,4.393805,4.115044,4.345133,savvy mate! even sober people will love it.,113
The Great Pumpkin,Pumpkin Beer,Elysian Brewing Company,15,5,33,23,2,117,7,102,37,4.393617,3.904255,4.319149,savvy mate! even sober people will love it.,47
Kiwi Rising - Double IPL,Lager - India Pale Lager (IPL),Jack's Abby Brewing,13,70,57,66,2,120,88,5,25,4.392857,4.071429,4.321429,savvy mate! even sober people will love it.,14
Red Poppy,Sour - Flanders Red Ale,The Lost Abbey,11,10,66,172,1,111,22,25,45,4.392857,3.535714,4.535714,savvy mate! even sober people will love it.,14
Parabola,Stout - Russian Imperial,Firestone Walker Brewing Co.,66,33,62,6,0,18,11,20,105,4.389076,4.288235,4.545378,savvy mate! even sober people will love it.,595
Boat Beer,Pale Ale - American,Carton Brewing Company,14,58,33,86,6,111,106,11,62,4.388889,3.944444,4.166667,savvy mate! even sober people will love it.,9
The Angel's Share - Bourbon Barrel-Aged,Strong Ale - American,The Lost Abbey,101,16,95,14,0,37,11,27,130,4.388577,3.898876,4.335206,savvy mate! even sober people will love it.,534
Arctic Devil Barley Wine,Barleywine - English,Midnight Sun Brewing Co.,69,28,123,23,0,49,23,24,141,4.38756,4.119617,4.437799,savvy mate! even sober people will love it.,209
Devil Over A Barrel Bourbon Barrel-Aged Imperial Coffee Oatmeal Porter,Porter - Imperial,Tyranena Brewing Company,63,83,47,5,0,5,12,33,199,4.379592,4.093878,4.426531,savvy mate! even sober people will love it.,245
Lagunitas Sucks,IPA - Imperial,Lagunitas Brewing Company,10,48,53,43,0,56,62,8,39,4.376697,3.983032,4.30543,savvy mate! even sober people will love it.,442
§ucaba,Barleywine - English,Firestone Walker Brewing Co.,74,24,105,23,0,50,19,18,112,4.376302,4.057292,4.505208,savvy mate! even sober people will love it.,384
Weekapaug Gruit,Gruit / Ancient Herbed Ale,Magnolia Pub & Brewery,9,12,24,16,0,24,74,35,20,4.375,4,4.4375,savvy mate! even sober people will love it.,8
Naughty 90,IPA - English,Toppling Goliath Brewing Company,21,57,54,24,0,33,73,29,102,4.375,4.625,4.75,savvy mate! even sober people will love it.,4
Péché Mortel,Stout - American Imperial,Brasserie Dieu Du Ciel,23,114,60,4,0,10,42,29,143,4.375,4.375,4.375,savvy mate! even sober people will love it.,4
Dark Lord Imperial Stout,Stout - Russian Imperial,Three Floyds Brewing Co. & Brewpub,24,48,102,16,0,26,5,27,110,4.374876,4.407517,4.410979,savvy mate! even sober people will love it.,1011
Furious,IPA - American,Surly Brewing Company,5,57,45,48,0,54,96,3,61,4.374592,4.27165,4.379902,savvy mate! even sober people will love it.,1224
Raspberry Tart,Fruit and Field Beer,New Glarus Brewing Company,14,7,193,90,0,137,11,4,16,4.371831,4.124648,4.416901,savvy mate! even sober people will love it.,710
Nugget Nectar,Red Ale - Imperial,Tröegs Brewing Company,11,97,84,50,0,69,139,13,90,4.3711,4.212276,4.413555,savvy mate! even sober people will love it.,1955
Hunahpu's Imperial Stout,Stout - American Imperial,Cigar City Brewing,21,42,52,9,0,17,3,90,79,4.369464,4.587413,4.564103,savvy mate! even sober people will love it.,429
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine American,Central Waters Brewing Company,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.307947,savvy mate! even sober people will love it.,302
Blackout Stout - Barrel-Aged,Stout - Russian Imperial,Great Lakes Brewing Company,44,17,51,11,0,8,3,18,78,4.367041,4.125468,4.455056,savvy mate! even sober people will love it.,267
Smoked Porter,Porter - Smoked,Spring House Brewing Company,20,37,33,13,0,12,25,131,75,4.366667,4.133333,4.166667,"alrighty. Sell it cheap, that could work.",15
Pure Hoppiness,IPA - Imperial,Alpine Beer Company,15,99,41,43,0,59,126,7,39,4.36631,4.216578,4.35205,savvy mate! even sober people will love it.,561
Lunch,IPA - American,Maine Beer Company,15,64,56,79,0,97,102,5,49,4.36612,4.286885,4.311475,savvy mate! even sober people will love it.,183
Consecration,Wild Ale,Russian River Brewing Company,13,10,51,109,0,97,9,9,16,4.366114,4.091232,4.473934,savvy mate! even sober people will love it.,844
Aecht Schlenkerla Fastenbier (Lentbeer),Lager - Rauchbier,Brauerei Heller-Trum / Schlenkerla,12,55,63,7,1,9,69,121,106,4.361446,4.138554,4.295181,savvy mate! even sober people will love it.,83
Blind Pig,IPA - American,Russian River Brewing Company,7,80,38,69,4,94,140,1,33,4.353199,4.187993,4.30894,savvy mate! even sober people will love it.,1141
Temptation,Wild Ale,Russian River Brewing Company,7,10,53,138,4,79,20,1,20,4.35124,4.27686,4.458087,savvy mate! even sober people will love it.,847
Schaarbeekse Kriek,Lambic - Fruit,Brouwerij Drie Fonteinen,8,2,52,116,0,100,18,7,13,4.349727,4.215847,4.387978,savvy mate! even sober people will love it.,183
Barrel Aged Behemoth,Barleywine American,Three Floyds Brewing Co. & Brewpub,66,38,86,36,0,61,42,35,92,4.348485,4,4.469697,savvy mate! even sober people will love it.,33
Head Hunter,IPA - American,Fat Heads Brewery & Saloon,16,71,46,63,0,97,110,6,40,4.348039,4.04902,4.303922,savvy mate! even sober people will love it.,102
BREWtality - Espresso Black Bier,Lager - Schwarzbier,Midnight Sun Brewing Co.,40,143,92,19,0,22,39,13,214,4.347826,4.086957,4.23913,savvy mate! even sober people will love it.,23
Cherry Adam From The Wood,Old Ale,Hair of the Dog Brewing Company / Brewery and Tasting Room,51,18,86,21,0,97,8,32,103,4.34596,3.729798,4.391414,savvy mate! even sober people will love it.,198
Abbaye De Saint Bon-ChienBFM (Brasserie des Franches-Montagnes),Farmhouse Ale - Bière de Garde,BFM Brasserie Des Franches-Montagnes,27,6,60,113,0,74,5,6,19,4.341954,3.91092,4.344828,savvy mate! even sober people will love it.,174
Ruination Double IPA 2.0,IPA - Imperial,Stone Brewing Co.,25,95,50,55,0,83,135,0,26,4.341531,4.179179,4.351331,savvy mate! even sober people will love it.,2704
Framboise De Amorosa,Wild Ale,The Lost Abbey,7,2,115,154,3,110,11,9,30,4.341317,3.937126,4.287425,savvy mate! even sober people will love it.,167
Old Numbskull - Bourbon Barrel-Aged,Barleywine American,AleSmith Brewing Company,67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.349206,savvy mate! even sober people will love it.,63
Coolship Red,Lambic - Fruit,Allagash Brewing Company,7,2,74,113,1,83,10,3,10,4.339286,4.214286,4.375,savvy mate! even sober people will love it.,28
Hommage,Lambic - Fruit,Brouwerij Drie Fonteinen,3,5,88,103,0,102,14,1,9,4.33908,4.218391,4.494253,savvy mate! even sober people will love it.,87
Lou Pepe - Gueuze,Lambic - Gueuze,Brasserie Cantillon,3,3,34,116,1,54,6,2,5,4.335938,4.113281,4.378906,savvy mate! even sober people will love it.,128
Heritage Coffee Brown Ale,Brown Ale - English,Alaskan Brewing Co.,13,111,49,11,0,6,31,1,167,4.333333,4,4.166667,savvy mate! even sober people will love it.,3
Reggae Junkie,Gruit / Ancient Herbed Ale,Upright Brewing Company,1,1,4,15,0,5,8,4,3,4.333333,3.666667,4,savvy mate! even sober people will love it.,3
Fearless Youth,Lager - Munich Dunkel,Grimm Brothers Brewhouse,8,37,95,18,0,32,39,6,129,4.333333,4.5,4.5,savvy mate! even sober people will love it.,3
Coolship Resurgam,Lambic - Gueuze,Allagash Brewing Company,13,22,68,185,0,127,22,11,18,4.333333,4.333333,4.333333,savvy mate! even sober people will love it.,3
Lambiek Oud Beersel,Lambic - Traditional,Brouwerij Oud Beersel,0,8,18,87,2,39,9,2,10,4.333333,3.833333,4.333333,savvy mate! even sober people will love it.,3
Roggenbier,Rye Beer - Roggenbier,Beaver Brewing Company,7,2,37,39,0,37,4,16,51,4.333333,4.666667,4.666667,savvy mate! even sober people will love it.,3
Le Serpent,Sour - Flanders Oud Bruin,Snake River Brewing Company & Brewpub,4,0,34,104,0,66,2,16,12,4.333333,4,4.166667,savvy mate! even sober people will love it.,6
Java The Stout,Stout - American,Jackie O's Pub & Brewery,6,110,53,13,0,1,28,14,174,4.333333,4.055556,4.361111,savvy mate! even sober people will love it.,18
Obovoid,Stout - Oatmeal,Boulder Beer / Wilderness Pub,21,41,84,14,0,18,24,23,119,4.333333,4.166667,4.5,savvy mate! even sober people will love it.,3
Boxer's Revenge,Wild Ale,Jester King Craft Brewery,49,10,93,177,2,113,23,11,27,4.333333,4,4,savvy mate! even sober people will love it.,6
Speedway Stout,Stout - American Imperial,AleSmith Brewing Company,31,62,67,1,0,7,16,14,133,4.328924,4.40388,4.441358,savvy mate! even sober people will love it.,1134
Oude Lambiek De Cam,Lambic - Traditional,De Cam Geuzestekerij,11,16,61,213,2,94,23,7,21,4.328125,3.96875,4.351562,savvy mate! even sober people will love it.,64
Ola Dubh Special Reserve 40,Old Ale,Harviestoun Brewery Ltd.,71,39,95,16,2,39,26,63,102,4.328125,4.09375,4.338542,savvy mate! even sober people will love it.,96
Deliverance,Strong Ale - American,The Lost Abbey,97,35,120,25,0,54,17,26,130,4.325521,3.992188,4.309896,savvy mate! even sober people will love it.,192
Fantôme Saison,Farmhouse Ale - Saison,Brasserie Fantôme,14,18,66,113,1,103,27,46,32,4.323401,4.18314,4.40407,savvy mate! even sober people will love it.,688
Abt 12,Quadrupel (Quad),Brouwerij St. Bernardus NV,59,24,117,44,0,85,27,30,84,4.318448,4.362201,4.487145,savvy mate! even sober people will love it.,2217
Lou Pepe - Kriek,Lambic - Fruit,Brasserie Cantillon,4,2,44,96,0,74,7,5,13,4.316206,4.357708,4.462451,savvy mate! even sober people will love it.,253
Everett Porter,Porter - American,Hill Farmstead Brewery,8,93,80,10,0,12,44,15,168,4.314607,4.303371,4.533708,savvy mate! even sober people will love it.,89
Brewhouse Coffee Stout,Stout - American,Central Waters Brewing Company,14,121,72,6,0,10,32,13,192,4.312893,4.04717,4.290881,savvy mate! even sober people will love it.,318
Darkness,Stout - Russian Imperial,Surly Brewing Company,30,107,118,31,0,80,74,30,163,4.312693,4.543344,4.426471,savvy mate! even sober people will love it.,646
Coolship Cerise,Lambic - Fruit,Allagash Brewing Company,16,2,44,197,0,115,18,22,18,4.3125,3.9375,4.3125,savvy mate! even sober people will love it.,8
Cuvee De Tomme,Wild Ale,The Lost Abbey,32,6,75,104,0,83,4,11,41,4.312112,3.790373,4.361801,savvy mate! even sober people will love it.,322
The 50 Degrees North-4 Degrees East,Lambic - Traditional,Brasserie Cantillon,29,17,62,106,0,66,25,5,15,4.310606,4.068182,4.295455,savvy mate! even sober people will love it.,66
Rauch Ür Bock,Lager - Rauchbier,Caldera Brewing Company,8,15,74,17,2,19,12,99,64,4.309524,3.821429,4.154762,savvy mate! even sober people will love it.,42
Victory At Sea - Barrel-Aged,Porter - Imperial,Ballast Point Brewing Company,63,61,56,8,0,13,12,42,156,4.308824,4.485294,4.367647,savvy mate! even sober people will love it.,34
Chocolate Stout,Stout - American,Rogue Ales,8,81,109,6,0,9,53,11,143,4.306354,4.320166,4.257735,savvy mate! even sober people will love it.,1810
Hop JuJu,IPA - Imperial,Fat Heads Brewery & Saloon,18,67,25,48,0,66,96,5,13,4.305556,4.083333,4.222222,savvy mate! even sober people will love it.,18
Oude Geuze,Lambic - Gueuze,Brouwerij Drie Fonteinen,9,10,50,206,2,112,24,8,19,4.305208,4.223958,4.3375,savvy mate! even sober people will love it.,480
HefeWeizen,Wheat Beer - Hefeweizen,Live Oak Brewing Company,7,16,17,25,0,60,24,50,41,4.302795,4.21118,4.391304,savvy mate! even sober people will love it.,322
Ramstein Winter Wheat Eisbock,Bock - Eisbock,High Point Brewing Company,63,18,105,41,0,106,9,39,114,4.3,4.111111,4.477778,savvy mate! even sober people will love it.,45
The Waldos' Special Ale,IPA - Imperial,Lagunitas Brewing Company,40,72,86,53,1,69,102,13,55,4.3,3.9,3.8,"alrighty. Sell it cheap, that could work.",5
Black Cherry Porter,Porter - Imperial,Short's Brewing Company,11,52,84,41,0,109,33,32,105,4.3,4.4,4.3,savvy mate! even sober people will love it.,5
Uncle Rusty,Red Ale - Imperial,Columbus Brewing Company,22,127,97,79,0,126,151,8,90,4.3,4.1,4.4,savvy mate! even sober people will love it.,10
Crème Brûlée Java Stout,Stout - American,Kuhnhenn Brewing Company,13,105,78,9,2,2,22,35,134,4.3,3.96,3.885,"alrighty. Sell it cheap, that could work.",100
Old Rasputin,Stout - Russian Imperial,North Coast Brewing Co.,18,68,49,9,0,17,23,11,102,4.29845,4.395349,4.352713,savvy mate! even sober people will love it.,129
IPA,IPA - American,AleSmith Brewing Company,2,76,54,65,1,90,114,2,54,4.298209,4.300843,4.334563,savvy mate! even sober people will love it.,949
Fourth Dementia (4D),Old Ale,Kuhnhenn Brewing Company,51,25,178,31,0,78,5,21,149,4.296657,4.118384,4.36351,savvy mate! even sober people will love it.,359
Hefeweissbier,Wheat Beer - Hefeweizen,Bayerische Staatsbrauerei Weihenstephan,7,11,15,26,0,55,23,39,46,4.296315,4.380363,4.425038,savvy mate! even sober people will love it.,1981
Saint Lamvinus,Lambic - Fruit,Brasserie Cantillon,13,5,101,143,3,121,13,4,16,4.296143,4.282369,4.46832,savvy mate! even sober people will love it.,363
